id,recipe,kind,target,scope,n,mae,persistence_mae,skill,gain_over_best_member
r000,100% Country offsets,single,ladder,endpoint,97,0.35131854480621816,0.38900000000000007,0.09686749407141881,0.0
r000,100% Country offsets,single,ladder,pooled,681,0.27212192812760844,0.289743906020558,0.06081914934804267,0.0
r000,100% Country offsets,single,gdp,endpoint,97,8.727932429740678,15.629918353270504,0.4415880983847629,0.0
r000,100% Country offsets,single,gdp,pooled,691,6.443658709458863,8.64998160201729,0.25506677286387325,0.0
r001,100% Decaying offsets,single,ladder,endpoint,97,0.38002667099604004,0.38900000000000007,0.023067683814807283,0.0
r001,100% Decaying offsets,single,ladder,pooled,681,0.27160630350126447,0.289743906020558,0.06259873682384409,0.0
r001,100% Decaying offsets,single,gdp,endpoint,97,11.102318530177392,15.629918353270504,0.2896752062780755,0.0
r001,100% Decaying offsets,single,gdp,pooled,691,7.5113775532520695,8.64998160201729,0.13163080583890296,0.0
r002,100% Health + income,single,ladder,endpoint,97,0.36269597584009067,0.38900000000000007,0.06761959938280049,0.0
r002,100% Health + income,single,ladder,pooled,681,0.2748335619430111,0.289743906020558,0.05146042338674395,0.0
r002,100% Health + income,single,gdp,endpoint,97,9.261989807381061,15.629918353270504,0.40741918172317115,0.0
r002,100% Health + income,single,gdp,pooled,691,5.929629667238287,8.64998160201729,0.314492222057973,0.0
r003,100% Retained offsets,single,ladder,endpoint,97,0.36894119936443803,0.38900000000000007,0.0515650401942469,0.0
r003,100% Retained offsets,single,ladder,pooled,681,0.2815924477272657,0.289743906020558,0.02813332092207632,0.0
r003,100% Retained offsets,single,gdp,endpoint,97,11.102318530177392,15.629918353270504,0.2896752062780755,0.0
r003,100% Retained offsets,single,gdp,pooled,691,7.5113775532520695,8.64998160201729,0.13163080583890296,0.0
r004,100% Conservative mix,single,ladder,endpoint,97,0.383188817211193,0.38900000000000007,0.014938773236007785,0.0
r004,100% Conservative mix,single,ladder,pooled,681,0.28513567260918815,0.289743906020558,0.015904505032257266,0.0
r004,100% Conservative mix,single,gdp,endpoint,97,13.846356522812373,15.629918353270504,0.11411203757727417,0.0
r004,100% Conservative mix,single,gdp,pooled,691,7.678619656444632,8.64998160201729,0.11229641752603536,0.0
r005,100% Damped trends,single,ladder,endpoint,97,0.3868058928259205,0.38900000000000007,0.005640378339536234,0.0
r005,100% Damped trends,single,ladder,pooled,681,0.28636005501459866,0.289743906020558,0.011678765059925822,0.0
r005,100% Damped trends,single,gdp,endpoint,97,9.496953784168321,15.629918353270504,0.3923862192036903,0.0
r005,100% Damped trends,single,gdp,pooled,691,6.923901852500258,8.64998160201729,0.1995472162755222,0.0
r006,100% Change regression,single,ladder,endpoint,97,0.38894523384369006,0.38900000000000007,0.00014078703421593897,0.0
r006,100% Change regression,single,ladder,pooled,681,0.28958466869160887,0.289743906020558,0.0005495795619523403,0.0
r006,100% Change regression,single,gdp,endpoint,97,9.83955316931597,15.629918353270504,0.37046675824400077,0.0
r006,100% Change regression,single,gdp,pooled,691,7.027676895270102,8.64998160201729,0.18755007598731133,0.0
r007,100% Original model,single,ladder,endpoint,97,0.4634978806357785,0.38900000000000007,-0.1915112612744947,0.0
r007,100% Original model,single,ladder,pooled,681,0.31753331280808195,0.289743906020558,-0.09591023731678505,0.0
r007,100% Original model,single,gdp,endpoint,97,11.102318530177486,15.629918353270504,0.28967520627806953,0.0
r007,100% Original model,single,gdp,pooled,691,7.511377553252144,8.64998160201729,0.1316308058388943,0.0
r008,100% Stay at 2018,single,ladder,endpoint,97,0.38900000000000007,0.38900000000000007,0.0,0.0
r008,100% Stay at 2018,single,ladder,pooled,681,0.289743906020558,0.289743906020558,0.0,0.0
r008,100% Stay at 2018,single,gdp,endpoint,97,15.629918353270504,15.629918353270504,0.0,0.0
r008,100% Stay at 2018,single,gdp,pooled,691,8.64998160201729,8.64998160201729,0.0,0.0
